step	status	log
verify_runtime_artifacts	0	/root/work/ZYNQ7020/.config/fieldmesh/live-gate-z103-20260513-203710/verify_runtime_artifacts.log
prepare_jtag_ram_payload	0	/root/work/ZYNQ7020/.config/fieldmesh/live-gate-z103-20260513-203710/prepare_jtag_ram_payload.log
usb_reachability	0	/root/work/ZYNQ7020/.config/fieldmesh/live-gate-z103-20260513-203710/usb_reachability.log
jtag_scan	0	/root/work/ZYNQ7020/.config/fieldmesh/live-gate-z103-20260513-203710/jtag_scan.log
fieldmesh_jtag_ram_boot	1	/root/work/ZYNQ7020/.config/fieldmesh/live-gate-z103-20260513-203710/fieldmesh_jtag_ram_boot.log
board_sidecar_preflight	SKIP	/root/work/ZYNQ7020/.config/fieldmesh/live-gate-z103-20260513-203710/board_sidecar_preflight.log
